Unit Cell,ID,Stiff material,Infill material,Unit cell width [mm],Unit cell height [mm],Out of plane thickness [mm],Strut thickness [mm],Fillet radius [mm],Interface length [mm],Inner radius [mm]
Chiral,1,PLA,dense elastomer,10.0,10.0,2.5,0.25,0.5,0.25,1.0
Chiral,2,PLA,foamed elastomer,10.0,10.0,2.5,0.25,0.5,0.25,1.0
Chiral,3,PLA,none,10.0,10.0,2.5,0.25,0.5,0.25,1.0
Chiral,4,PLA,dense elastomer,10.0,10.0,2.5,0.25,0.5,0.25,1.5
Chiral,5,PLA,foamed elastomer,10.0,10.0,2.5,0.25,0.5,0.25,1.5
Chiral,6,PLA,none,10.0,10.0,2.5,0.25,0.5,0.25,1.5
Chiral,7,PLA,dense elastomer,10.0,10.0,2.5,0.25,0.5,0.25,2.0
Chiral,8,PLA,foamed elastomer,10.0,10.0,2.5,0.25,0.5,0.25,2.0
Chiral,9,PLA,none,10.0,10.0,2.5,0.25,0.5,0.25,2.0
Chiral,10,PLA,dense elastomer,10.0,10.0,2.5,0.75,0.5,0.75,1.0
Chiral,11,PLA,foamed elastomer,10.0,10.0,2.5,0.75,0.5,0.75,1.0
Chiral,12,PLA,none,10.0,10.0,2.5,0.75,0.5,0.75,1.0
Chiral,13,PLA,dense elastomer,10.0,10.0,2.5,0.75,0.5,0.75,1.5
Chiral,14,PLA,foamed elastomer,10.0,10.0,2.5,0.75,0.5,0.75,1.5
Chiral,15,PLA,none,10.0,10.0,2.5,0.75,0.5,0.75,1.5
Chiral,16,PLA,dense elastomer,10.0,10.0,2.5,0.75,0.5,0.75,2.0
Chiral,17,PLA,foamed elastomer,10.0,10.0,2.5,0.75,0.5,0.75,2.0
Chiral,18,PLA,none,10.0,10.0,2.5,0.75,0.5,0.75,2.0
Chiral,19,PLA,dense elastomer,10.0,10.0,2.5,1.25,0.5,1.25,1.0
Chiral,20,PLA,foamed elastomer,10.0,10.0,2.5,1.25,0.5,1.25,1.0
Chiral,21,PLA,none,10.0,10.0,2.5,1.25,0.5,1.25,1.0
Chiral,22,PLA,dense elastomer,10.0,10.0,2.5,1.25,0.5,1.25,1.5
Chiral,23,PLA,foamed elastomer,10.0,10.0,2.5,1.25,0.5,1.25,1.5
Chiral,24,PLA,none,10.0,10.0,2.5,1.25,0.5,1.25,1.5
Chiral,25,PLA,dense elastomer,10.0,10.0,2.5,1.25,0.5,1.25,2.0
Chiral,26,PLA,foamed elastomer,10.0,10.0,2.5,1.25,0.5,1.25,2.0
Chiral,27,PLA,none,10.0,10.0,2.5,1.25,0.5,1.25,2.0
Chiral,28,PLA,dense elastomer,30.0,10.0,2.5,0.25,0.5,0.25,1.0
Chiral,29,PLA,foamed elastomer,30.0,10.0,2.5,0.25,0.5,0.25,1.0
Chiral,30,PLA,none,30.0,10.0,2.5,0.25,0.5,0.25,1.0
Chiral,31,PLA,dense elastomer,30.0,10.0,2.5,0.25,0.5,0.25,1.5
Chiral,32,PLA,foamed elastomer,30.0,10.0,2.5,0.25,0.5,0.25,1.5
Chiral,33,PLA,none,30.0,10.0,2.5,0.25,0.5,0.25,1.5
Chiral,34,PLA,dense elastomer,30.0,10.0,2.5,0.25,0.5,0.25,2.0
Chiral,35,PLA,foamed elastomer,30.0,10.0,2.5,0.25,0.5,0.25,2.0
Chiral,36,PLA,none,30.0,10.0,2.5,0.25,0.5,0.25,2.0
Chiral,37,PLA,dense elastomer,30.0,10.0,2.5,0.75,0.5,0.75,1.0
Chiral,38,PLA,foamed elastomer,30.0,10.0,2.5,0.75,0.5,0.75,1.0
Chiral,39,PLA,none,30.0,10.0,2.5,0.75,0.5,0.75,1.0
Chiral,40,PLA,dense elastomer,30.0,10.0,2.5,0.75,0.5,0.75,1.5
Chiral,41,PLA,foamed elastomer,30.0,10.0,2.5,0.75,0.5,0.75,1.5
Chiral,42,PLA,none,30.0,10.0,2.5,0.75,0.5,0.75,1.5
Chiral,43,PLA,dense elastomer,30.0,10.0,2.5,0.75,0.5,0.75,2.0
Chiral,44,PLA,foamed elastomer,30.0,10.0,2.5,0.75,0.5,0.75,2.0
Chiral,45,PLA,none,30.0,10.0,2.5,0.75,0.5,0.75,2.0
Chiral,46,PLA,dense elastomer,30.0,10.0,2.5,1.25,0.5,1.25,1.0
Chiral,47,PLA,foamed elastomer,30.0,10.0,2.5,1.25,0.5,1.25,1.0
Chiral,48,PLA,none,30.0,10.0,2.5,1.25,0.5,1.25,1.0
Chiral,49,PLA,dense elastomer,30.0,10.0,2.5,1.25,0.5,1.25,1.5
Chiral,50,PLA,foamed elastomer,30.0,10.0,2.5,1.25,0.5,1.25,1.5
Chiral,51,PLA,none,30.0,10.0,2.5,1.25,0.5,1.25,1.5
Chiral,52,PLA,dense elastomer,30.0,10.0,2.5,1.25,0.5,1.25,2.0
Chiral,53,PLA,foamed elastomer,30.0,10.0,2.5,1.25,0.5,1.25,2.0
Chiral,54,PLA,none,30.0,10.0,2.5,1.25,0.5,1.25,2.0
Chiral,55,PLA,dense elastomer,50.0,10.0,2.5,0.25,0.5,0.25,1.0
Chiral,56,PLA,foamed elastomer,50.0,10.0,2.5,0.25,0.5,0.25,1.0
