Unit Cell,ID,Stiff material,Infill material,Unit cell width [mm],Unit cell height [mm],Out of plane thickness [mm],Strut thickness [mm],Fillet radius [mm],Interface length [mm]
Lattice,1,PLA,dense elastomer,10.0,10.0,2.5,0.25,0.5,0.375
Lattice,2,PLA,foamed elastomer,10.0,10.0,2.5,0.25,0.5,0.375
Lattice,3,PLA,none,10.0,10.0,2.5,0.25,0.5,0.375
Lattice,4,PLA,dense elastomer,10.0,10.0,2.5,0.75,0.5,1.125
Lattice,5,PLA,foamed elastomer,10.0,10.0,2.5,0.75,0.5,1.125
Lattice,6,PLA,none,10.0,10.0,2.5,0.75,0.5,1.125
Lattice,7,PLA,dense elastomer,10.0,10.0,2.5,1.25,0.5,1.875
Lattice,8,PLA,foamed elastomer,10.0,10.0,2.5,1.25,0.5,1.875
Lattice,9,PLA,none,10.0,10.0,2.5,1.25,0.5,1.875
Lattice,10,PLA,dense elastomer,30.0,10.0,2.5,0.25,0.5,0.375
Lattice,11,PLA,foamed elastomer,30.0,10.0,2.5,0.25,0.5,0.375
Lattice,12,PLA,none,30.0,10.0,2.5,0.25,0.5,0.375
Lattice,13,PLA,dense elastomer,30.0,10.0,2.5,0.75,0.5,1.125
Lattice,14,PLA,foamed elastomer,30.0,10.0,2.5,0.75,0.5,1.125
Lattice,15,PLA,none,30.0,10.0,2.5,0.75,0.5,1.125
Lattice,16,PLA,dense elastomer,30.0,10.0,2.5,1.25,0.5,1.875
Lattice,17,PLA,foamed elastomer,30.0,10.0,2.5,1.25,0.5,1.875
Lattice,18,PLA,none,30.0,10.0,2.5,1.25,0.5,1.875
Lattice,19,PLA,dense elastomer,50.0,10.0,2.5,0.25,0.5,0.375
Lattice,20,PLA,foamed elastomer,50.0,10.0,2.5,0.25,0.5,0.375
Lattice,21,PLA,none,50.0,10.0,2.5,0.25,0.5,0.375
Lattice,22,PLA,dense elastomer,50.0,10.0,2.5,0.75,0.5,1.125
Lattice,23,PLA,foamed elastomer,50.0,10.0,2.5,0.75,0.5,1.125
Lattice,24,PLA,none,50.0,10.0,2.5,0.75,0.5,1.125
Lattice,25,PLA,dense elastomer,50.0,10.0,2.5,1.25,0.5,1.875
Lattice,26,PLA,foamed elastomer,50.0,10.0,2.5,1.25,0.5,1.875
Lattice,27,PLA,none,50.0,10.0,2.5,1.25,0.5,1.875
Lattice,28,PLA,dense elastomer,34.1049594214365,10.0,2.5,0.43226907528560965,0.5,0.6484036129284145
Lattice,29,PLA,foamed elastomer,34.1049594214365,10.0,2.5,0.43226907528560965,0.5,0.6484036129284145
Lattice,30,PLA,none,34.1049594214365,10.0,2.5,0.43226907528560965,0.5,0.6484036129284145
Lattice,31,PLA,dense elastomer,21.61322099407988,10.0,2.5,0.4730120634825511,0.5,0.7095180952238267
Lattice,32,PLA,foamed elastomer,21.61322099407988,10.0,2.5,0.4730120634825511,0.5,0.7095180952238267
Lattice,33,PLA,none,21.61322099407988,10.0,2.5,0.4730120634825511,0.5,0.7095180952238267
Lattice,34,PLA,dense elastomer,22.577916239161276,10.0,2.5,0.8456619048538891,0.5,1.2684928572808336
Lattice,35,PLA,foamed elastomer,22.577916239161276,10.0,2.5,0.8456619048538891,0.5,1.2684928572808336
Lattice,36,PLA,none,22.577916239161276,10.0,2.5,0.8456619048538891,0.5,1.2684928572808336
Lattice,37,PLA,dense elastomer,27.42255576735833,10.0,2.5,0.7015438477238214,0.5,1.052315771585732
Lattice,38,PLA,foamed elastomer,27.42255576735833,10.0,2.5,0.7015438477238214,0.5,1.052315771585732
Lattice,39,PLA,none,27.42255576735833,10.0,2.5,0.7015438477238214,0.5,1.052315771585732
Lattice,40,PLA,dense elastomer,41.5950660870182,10.0,2.5,1.2475471376653704,0.5,1.8713207064980555
Lattice,41,PLA,foamed elastomer,41.5950660870182,10.0,2.5,1.2475471376653704,0.5,1.8713207064980555
Lattice,42,PLA,none,41.5950660870182,10.0,2.5,1.2475471376653704,0.5,1.8713207064980555
Lattice,43,PLA,dense elastomer,20.63956162029493,10.0,2.5,0.7726544848609096,0.5,1.1589817272913643
Lattice,44,PLA,foamed elastomer,20.63956162029493,10.0,2.5,0.7726544848609096,0.5,1.1589817272913643
Lattice,45,PLA,none,20.63956162029493,10.0,2.5,0.7726544848609096,0.5,1.1589817272913643
Lattice,46,PLA,dense elastomer,44.764914973184645,10.0,2.5,0.7360047752158155,0.5,1.1040071628237234
Lattice,47,PLA,foamed elastomer,44.764914973184645,10.0,2.5,0.7360047752158155,0.5,1.1040071628237234
Lattice,48,PLA,none,44.764914973184645,10.0,2.5,0.7360047752158155,0.5,1.1040071628237234
Lattice,49,PLA,dense elastomer,42.42729470959814,10.0,2.5,1.2356738834875487,0.5,1.853510825231323
Lattice,50,PLA,foamed elastomer,42.42729470959814,10.0,2.5,1.2356738834875487,0.5,1.853510825231323
Lattice,51,PLA,none,42.42729470959814,10.0,2.5,1.2356738834875487,0.5,1.853510825231323
Lattice,52,PLA,dense elastomer,20.046744223410727,10.0,2.5,1.0731208103223318,0.5,1.6096812154834976
Lattice,53,PLA,foamed elastomer,20.046744223410727,10.0,2.5,1.0731208103223318,0.5,1.6096812154834976
Lattice,54,PLA,none,20.046744223410727,10.0,2.5,1.0731208103223318,0.5,1.6096812154834976
Lattice,55,PLA,dense elastomer,41.988364845319,10.0,2.5,0.3984274520979786,0.5,0.5976411781469679
Lattice,56,PLA,foamed elastomer,41.988364845319,10.0,2.5,0.3984274520979786,0.5,0.5976411781469679
Lattice,57,PLA,none,41.988364845319,10.0,2.5,0.3984274520979786,0.5,0.5976411781469679
Lattice,58,PLA,dense elastomer,10.652202652322648,10.0,2.5,1.1233425996786313,0.5,1.685013899517947
Lattice,59,PLA,foamed elastomer,10.652202652322648,10.0,2.5,1.1233425996786313,0.5,1.685013899517947
Lattice,60,PLA,none,10.652202652322648,10.0,2.5,1.1233425996786313,0.5,1.685013899517947
Lattice,61,PLA,dense elastomer,19.800392536997553,10.0,2.5,0.2817859306723915,0.5,0.4226788960085872
Lattice,62,PLA,foamed elastomer,19.800392536997553,10.0,2.5,0.2817859306723915,0.5,0.4226788960085872
Lattice,63,PLA,none,19.800392536997553,10.0,2.5,0.2817859306723915,0.5,0.4226788960085872
Lattice,64,PLA,dense elastomer,35.2222977661366,10.0,2.5,0.3671307625651085,0.5,0.5506961438476627
Lattice,65,PLA,foamed elastomer,35.2222977661366,10.0,2.5,0.3671307625651085,0.5,0.5506961438476627
Lattice,66,PLA,none,35.2222977661366,10.0,2.5,0.3671307625651085,0.5,0.5506961438476627
Lattice,67,PLA,dense elastomer,38.042744623561745,10.0,2.5,0.9564142408467522,0.5,1.4346213612701284
Lattice,68,PLA,foamed elastomer,38.042744623561745,10.0,2.5,0.9564142408467522,0.5,1.4346213612701284
Lattice,69,PLA,none,38.042744623561745,10.0,2.5,0.9564142408467522,0.5,1.4346213612701284
