Unit Cell,ID,Stiff material,Infill material,Unit cell width [mm],Unit cell height [mm],Out of plane thickness [mm],Strut thickness [mm],Fillet radius [mm],Interface length [mm],Upper strut length [mm],Lower strut length [mm]
Re-entrant,1,PLA,dense elastomer,10,10,2.5,0.25,0.05,0.25,1.25,1.25
Re-entrant,2,PLA,foamed elastomer,10,10,2.5,0.25,0.05,0.25,1.25,1.25
Re-entrant,3,PLA,none,10,10,2.5,0.25,0.05,0.25,1.25,1.25
Re-entrant,4,PLA,dense elastomer,10,10,2.5,0.25,0.05,0.25,2.75,1.25
Re-entrant,5,PLA,foamed elastomer,10,10,2.5,0.25,0.05,0.25,2.75,1.25
Re-entrant,6,PLA,none,10,10,2.5,0.25,0.05,0.25,2.75,1.25
Re-entrant,7,PLA,dense elastomer,10,10,2.5,0.25,0.05,0.25,4.25,1.25
Re-entrant,8,PLA,foamed elastomer,10,10,2.5,0.25,0.05,0.25,4.25,1.25
Re-entrant,9,PLA,none,10,10,2.5,0.25,0.05,0.25,4.25,1.25
Re-entrant,10,PLA,dense elastomer,10,10,2.5,0.25,0.05,0.25,1.25,2.75
Re-entrant,11,PLA,foamed elastomer,10,10,2.5,0.25,0.05,0.25,1.25,2.75
Re-entrant,12,PLA,none,10,10,2.5,0.25,0.05,0.25,1.25,2.75
Re-entrant,13,PLA,dense elastomer,10,10,2.5,0.25,0.05,0.25,2.75,2.75
Re-entrant,14,PLA,foamed elastomer,10,10,2.5,0.25,0.05,0.25,2.75,2.75
Re-entrant,15,PLA,none,10,10,2.5,0.25,0.05,0.25,2.75,2.75
Re-entrant,16,PLA,dense elastomer,10,10,2.5,0.25,0.05,0.25,4.25,2.75
Re-entrant,17,PLA,foamed elastomer,10,10,2.5,0.25,0.05,0.25,4.25,2.75
Re-entrant,18,PLA,none,10,10,2.5,0.25,0.05,0.25,4.25,2.75
Re-entrant,19,PLA,dense elastomer,10,10,2.5,0.25,0.05,0.25,1.25,4.25
Re-entrant,20,PLA,foamed elastomer,10,10,2.5,0.25,0.05,0.25,1.25,4.25
Re-entrant,21,PLA,none,10,10,2.5,0.25,0.05,0.25,1.25,4.25
Re-entrant,22,PLA,dense elastomer,10,10,2.5,0.25,0.05,0.25,2.75,4.25
Re-entrant,23,PLA,foamed elastomer,10,10,2.5,0.25,0.05,0.25,2.75,4.25
Re-entrant,24,PLA,none,10,10,2.5,0.25,0.05,0.25,2.75,4.25
Re-entrant,25,PLA,dense elastomer,10,10,2.5,0.25,0.05,0.25,4.25,4.25
Re-entrant,26,PLA,foamed elastomer,10,10,2.5,0.25,0.05,0.25,4.25,4.25
Re-entrant,27,PLA,none,10,10,2.5,0.25,0.05,0.25,4.25,4.25
Re-entrant,28,PLA,dense elastomer,10,10,2.5,0.75,0.05,0.75,1.25,1.25
Re-entrant,29,PLA,foamed elastomer,10,10,2.5,0.75,0.05,0.75,1.25,1.25
Re-entrant,30,PLA,none,10,10,2.5,0.75,0.05,0.75,1.25,1.25
Re-entrant,31,PLA,dense elastomer,10,10,2.5,0.75,0.05,0.75,2.75,1.25
Re-entrant,32,PLA,foamed elastomer,10,10,2.5,0.75,0.05,0.75,2.75,1.25
Re-entrant,33,PLA,none,10,10,2.5,0.75,0.05,0.75,2.75,1.25
Re-entrant,34,PLA,dense elastomer,10,10,2.5,0.75,0.05,0.75,4.25,1.25
Re-entrant,35,PLA,foamed elastomer,10,10,2.5,0.75,0.05,0.75,4.25,1.25
Re-entrant,36,PLA,none,10,10,2.5,0.75,0.05,0.75,4.25,1.25
Re-entrant,37,PLA,dense elastomer,10,10,2.5,0.75,0.05,0.75,1.25,2.75
Re-entrant,38,PLA,foamed elastomer,10,10,2.5,0.75,0.05,0.75,1.25,2.75
Re-entrant,39,PLA,none,10,10,2.5,0.75,0.05,0.75,1.25,2.75
Re-entrant,40,PLA,dense elastomer,10,10,2.5,0.75,0.05,0.75,2.75,2.75
Re-entrant,41,PLA,foamed elastomer,10,10,2.5,0.75,0.05,0.75,2.75,2.75
Re-entrant,42,PLA,none,10,10,2.5,0.75,0.05,0.75,2.75,2.75
Re-entrant,43,PLA,dense elastomer,10,10,2.5,0.75,0.05,0.75,4.25,2.75
Re-entrant,44,PLA,foamed elastomer,10,10,2.5,0.75,0.05,0.75,4.25,2.75
Re-entrant,45,PLA,none,10,10,2.5,0.75,0.05,0.75,4.25,2.75
Re-entrant,46,PLA,dense elastomer,10,10,2.5,0.75,0.05,0.75,1.25,4.25
Re-entrant,47,PLA,foamed elastomer,10,10,2.5,0.75,0.05,0.75,1.25,4.25
Re-entrant,48,PLA,none,10,10,2.5,0.75,0.05,0.75,1.25,4.25
Re-entrant,49,PLA,dense elastomer,10,10,2.5,0.75,0.05,0.75,2.75,4.25
Re-entrant,50,PLA,foamed elastomer,10,10,2.5,0.75,0.05,0.75,2.75,4.25
Re-entrant,51,PLA,none,10,10,2.5,0.75,0.05,0.75,2.75,4.25
Re-entrant,52,PLA,dense elastomer,10,10,2.5,0.75,0.05,0.75,4.25,4.25
Re-entrant,53,PLA,foamed elastomer,10,10,2.5,0.75,0.05,0.75,4.25,4.25
Re-entrant,54,PLA,none,10,10,2.5,0.75,0.05,0.75,4.25,4.25
