Unit Cell,ID,Error,E1,E2,E3,Nu12,Nu13,Nu23,G12,G13,G23,Stiff volume,Total volume
Re-entrant,1,3.09E-06,4.239240105,8.857285766,139.8728772,0.646158121,0.025493803,0.001460111,1.541759374,20.84421289,34.75384374,17.1421544,250.0000221
Re-entrant,2,4.85E-06,0.276730999,0.832854494,138.2933214,0.572282604,0.000722612,0.001599603,0.82780907,20.48955664,34.41215622,17.1421544,250.0000221
Re-entrant,3,4.77E-06,0.205605296,0.621887413,138.2473087,0.571901254,0.000445077,0.001351404,0.799016128,20.47601171,34.39910153,17.1421544,250.0000221
Re-entrant,4,1.92E-05,10.60586301,45.85989134,145.473269,0.35016552,0.050549236,0.066617594,0.704857971,17.10496869,39.17861314,17.86340378,249.9999885
Re-entrant,5,1.33E-05,0.388039207,5.487475813,144.1845979,0.257411826,0.001011217,0.010689868,0.177462417,16.73835345,38.83981236,17.86340378,249.9999885
Re-entrant,6,1.35E-05,0.250714346,3.643165578,144.1399148,0.256782608,0.000520199,0.007588548,0.149566512,16.72434563,38.82687095,17.86340378,249.9999885
Re-entrant,7,1.43E-05,23.08245134,114.6756629,162.3480861,0.082099956,0.078677693,0.22743484,0.511886969,14.5221923,41.96076919,19.96552678,249.9999754
Re-entrant,8,1.73E-05,0.677206009,82.1318475,160.8855632,-0.043717001,0.001523431,0.154695447,0.069494208,14.08506046,41.62052189,19.96552678,249.9999754
Re-entrant,9,1.74E-05,0.319446028,63.68855799,160.841678,-0.044995012,0.000597794,0.11881074,0.0493146,14.06826359,41.60752638,19.96552678,249.9999754
Re-entrant,10,4.22E-05,10.59465935,45.87702408,145.4438481,0.349889618,0.050547422,0.066618169,0.704050582,17.09956707,39.17753219,17.86337101,249.9999625
Re-entrant,11,5.02E-05,0.387036157,5.474476182,144.1577085,0.257404023,0.001009943,0.010662303,0.178760398,16.73313933,38.83874308,17.86337101,249.9999625
Re-entrant,12,5.03E-05,0.250430673,3.63895962,144.1130298,0.256791673,0.000520385,0.007578639,0.151006462,16.71913738,38.82580166,17.86337101,249.9999625
Re-entrant,13,4.15E-06,19.14974022,114.2645369,162.0880659,0.078441789,0.071826196,0.224107108,0.533888915,14.48598925,41.97580075,19.96562008,250.0000666
Re-entrant,14,5.45E-06,0.521897435,76.59066378,160.9754298,-0.043996965,0.001230992,0.14455576,0.132249516,14.08810058,41.63536322,19.96562008,250.0000666
